id,segment,name,country,city,state,postalCode,region,email,phone,lastOrderID
CG-12520,"Consumer",Claire Gute,United States,Henderson,Kentucky,42420,South,clairegute@gmail.com,(215) 609-2754,CA-2014-164098
DV-13045,"Corporate",Darrin Van Huff,United States,Los Angeles,California,90036,West,darrinvanhuff@gmail.com,(401) 569-6733,CA-2013-106656
SO-20335,"Consumer",Sean O'Donnell,United States,Fort Lauderdale,Florida,33311,South,seano'donnell@gmail.com,(203) 487-1993,CA-2014-101700
BH-11710,"Consumer",Brosina Hoffman,United States,Los Angeles,California,90032,West,brosinahoffman@gmail.com,(203) 138-2852,CA-2012-149300
AA-10480,"Consumer",Andrew Allen,United States,Concord,North Carolina,28027,South,andrewallen@gmail.com,(201) 592-5452,CA-2013-114601
IM-15070,"Consumer",Irene Maddox,United States,Seattle,Washington,98103,West,irenemaddox@gmail.com,(401) 630-8392,CA-2013-140501
HP-14815,"Home Office",Harold Pawlan,United States,Fort Worth,Texas,76106,Central,haroldpawlan@gmail.com,(212) 897-4182,CA-2012-122259
PK-19075,"Consumer",Pete Kriz,United States,Madison,Wisconsin,53711,Central,petekriz@gmail.com,(212) 702-9752,US-2013-134488
AG-10270,"Consumer",Alejandro Grove,United States,West Jordan,Utah,84084,West,alejandrogrove@gmail.com,(212) 209-7601,CA-2014-139416
ZD-21925,"Consumer",Zuschuss Donatelli,United States,San Francisco,California,94109,West,zuschussdonatelli@gmail.com,(212) 607-5795,CA-2011-143336
KB-16585,"Corporate",Ken Black,United States,Fremont,Nebraska,68025,Central,kenblack@gmail.com,(802) 854-3449,CA-2012-103716
SF-20065,"Consumer",Sandra Flanagan,United States,Philadelphia,Pennsylvania,19140,East,sandraflanagan@gmail.com,(215) 617-5483,US-2012-164357
EB-13870,"Consumer",Emily Burns,United States,Orem,Utah,84057,West,emilyburns@gmail.com,(207) 232-8690,CA-2014-148999
EH-13945,"Consumer",Eric Hoffmann,United States,Los Angeles,California,90049,West,erichoffmann@gmail.com,(215) 613-3162,CA-2014-160458
TB-21520,"Consumer",Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,East,tracyblumstein@gmail.com,(212) 200-6641,CA-2011-168473
MA-17560,"Home Office",Matt Abelman,United States,Houston,Texas,77095,Central,mattabelman@gmail.com,(603) 588-6248,CA-2014-110373
GH-14485,"Corporate",Gene Hale,United States,Richardson,Texas,75080,Central,genehale@gmail.com,(212) 100-7159,CA-2013-117590
SN-20710,"Home Office",Steve Nguyen,United States,Houston,Texas,77041,Central,stevenguyen@gmail.com,(802) 269-5593,CA-2012-117415
LC-16930,"Corporate",Linda Cazamias,United States,Naperville,Illinois,60540,Central,lindacazamias@gmail.com,(203) 816-6022,CA-2013-152289
RA-19885,"Corporate",Ruben Ausman,United States,Los Angeles,California,90049,West,rubenausman@gmail.com,(603) 663-9365,US-2014-106145
ES-14080,"Corporate",Erin Smith,United States,Melbourne,Florida,32935,South,erinsmith@gmail.com,(401) 464-4149,CA-2013-108056
ON-18715,"Corporate",Odella Nelson,United States,Eagan,Minnesota,55122,Central,odellanelson@gmail.com,(203) 329-4413,US-2012-161466
PO-18865,"Consumer",Patrick O'Donnell,United States,Westland,Michigan,48185,Central,patricko'donnell@gmail.com,(203) 574-1157,CA-2014-143259
LH-16900,"Consumer",Lena Hernandez,United States,Dover,Delaware,19901,East,lenahernandez@gmail.com,(203) 770-7879,US-2012-136749
